Root,Display Seq,Level,Program,Programs,Product,Subject,Language,Grade Numbers,Pearsonbu,Asset Id,Parent Asset Id,External Id,Parent Descriptor,Descriptor,Index Code,Name,Tier Type,Tier Subtype,Sco Type,Search Title,Title In Sequence,Contenttype,Filetype,Mediatype,Hide From Student,Protected,Teacher Only,Download Restrictions,Planning,Rendersize,Mobileplatforms,Remediationtype,Testtype,Question Bank Type,English Id,Pacing,Materials,Contrib Source,Description Text,Skills,Thumbnail,Externalsource,Filename,Cutscore,Keywords,Url,Rubric Url,Activity Or SCO,Ch Lesson,Learning Model,Legacy Id,Legacy Other,Legacy Program,Notes,SCO Category,State Notes,Template01,Template02,Template03,Template04,Template05,Template06,Template07,Topic,2x Thumbnail,Grid Thumbnail,2x Grid Thumbnail,Reviewer Category,Instruction,Lexile,Guided Reading,DRA,Reading Maturity Metric,Quantile,Comprehension Skills,Text Features,Genres,Content Areas,ISBN,Author,playerTarget,Discussion Prompt,Counts Toward Mastery,Adaptive Type,Recommendable,Book Id,Pages,Featured Resources,Asset(s) to link,Thumbnail to link,Grid Thumbnail to link,Version Country,State Code,Version District,Version Statement,Content Category
"true","10",,"Elevate Science Grade 1",,,"Science","English","K|1|2","Science",,,"SCI19_NAG1_L398427029",,"a3ec4159-65aa-4a09-af5e-6871705fd0f3","Elevate Science Grade 1",,,,,"Elevate Science Grade 1","Elevate Science Grade 1","Sequence","Sequence","Tier",,,,,"No",,,,,,"SCI19_NAG1_L398427029",,,"Pearson",,,,,"Elevate Science Grade 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USA",,,,
"false","10",,"Elevate Science Grade 1",,,"Science","English","1","Science",,,"SCI19_NAG1_L613532777","a3ec4159-65aa-4a09-af5e-6871705fd0f3","76dc944c-6a6d-46ec-aecb-fcea64079ad2","Elevate Science Grade 1",,,,,"Getting Started with K - 5 Elevate Science","Getting Started with K - 5 Elevate Science","Teacher Resources","URL","Link","true","false","true","Stream/View","No",,,"Remediation",,,"SCI19_NAG1_L613532777",,,"Pearson",,,"https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/75899f03-f4b9-443e-a363-f7ebad9e6ece","URL","Getting Started with K - 5 Elevate Science",,,"https://us-school.pearsoned.com/school/d52e61fd-0b96-458d-8c7b-6e581ccc795f/Getting_Started_ESNA_K-5/Getting_Started_ESNA_K-5/Getting_Started_ESNA_K-5.xhtml",,,,,,,,,,,,,,,,,,,"https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/75899f03-f4b9-443e-a363-f7ebad9e6ece","https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/d7e28e57-092f-45e9-b6f1-a032982485a4","https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/d7e28e57-092f-45e9-b6f1-a032982485a4",,,,,,,,,,,,,,"realize",,"false",,"YES",,,,,,,"USA",,,,
"false","20",,"Elevate Science Grade 1",,,"Science","English","K|1|2","Science",,,"SCI19_NAG1_L443087087","a3ec4159-65aa-4a09-af5e-6871705fd0f3","0830f48e-6419-4ae8-b42b-fe68c5f05190","Elevate Science Grade 1",,,,,"Navigating Your Digital Course","Navigating Your Digital Course","Sequence","Sequence","Lesson","false",,"false",,"No",,,,,,"SCI19_NAG1_L443087087",,,"Pearson",,,"https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/40599138-44b7-405e-826a-fea0b937856c",,"Navigating Your Digital Course",,,,,,,,,,,,,,,,,,,,,,"https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/40599138-44b7-405e-826a-fea0b937856c","https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/bd9757c5-55ec-42fc-99c1-1642cf3e6181","https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/bd9757c5-55ec-42fc-99c1-1642cf3e6181",,,,,,,,,,,,,,,,,,,,,,,,,"USA",,,,
"false","10",,"Elevate Science Grade 1",,,"Science","English","K|1|2","Science",,,"SCI19_NAG1_L443087090","0830f48e-6419-4ae8-b42b-fe68c5f05190","44b3f223-5ca3-45e5-b47b-bdfa532c2bce","Elevate Science Grade 1:Navigating Your Digital Course",,,,,"Elevate Science Grade 1 Student Digital Book","Elevate Science Grade 1 Student Digital Book","Reference Material","URL","Link","false","true","false","Stream/View","No",,,"Remediation",,,"SCI19_NAG1_L443087090",,,"Pearson",,,"https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/94ab05f2-2dd4-440f-a9d9-2f48c6d7389e","URL","Elevate Science Grade 1 Student Digital Book",,"eText|reading|narrative|student edition|pages","http://pearsoneducation.scene7.com/s7viewers/html5/eCatalogViewer.html?emailurl=http://pearsoneducation.scene7.com/s7/emailFriend&serverUrl=http://pearsoneducation.scene7.com/is/image/&config=PearsonEducation/Universal%5FHTML5%5FeCatalog%5Fno%5Fshare&contenturl=http://pearsoneducation.scene7.com/skins/&config2=companypreset&asset=PearsonEducation/Elevate%2DScience%2DG01%2DSE",,,,,,,,,,,,,,,,,,,"https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/94ab05f2-2dd4-440f-a9d9-2f48c6d7389e","https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/d3b97824-4ad7-46e0-b1ec-b2b660b2250b","https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/d3b97824-4ad7-46e0-b1ec-b2b660b2250b",,,,,,,,,,,,,,"realize",,"false",,"NO",,,,,,,"USA",,,,
"false","30",,"Elevate Science Grade 1",,,"Science","English","K|1|2","Science",,,"SCI19_NAG1_L398427296","a3ec4159-65aa-4a09-af5e-6871705fd0f3","185c94c7-b1e2-40ba-b047-2a934dca5ffa","Elevate Science Grade 1",,,,,"Sound","Sound","Sequence","Sequence","Tier","false",,"false",,"No",,,,,,"SCI19_NAG1_L398427296",,,"Pearson",,,"https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/4e44f959-7428-4a96-8900-474fd6c4877b",,"Sound",,"sound | sounds | vibrate | vibrations | instrument | instruments | send | message | messages | secret code | secret codes | conductor | orchestra | instruct | instructions | ruler | marching band | parade | pitch | volume | long | longer | short | shorter | energy | drum | pitch | high | low | loud | soft | animal | animals | soyote | howl | growl | echolocation | bat | bats | echo | percussion | music  | musical | throat | vocal cords | sing | voice | large | small | violin | violins | cello | cellos | xylophone | xylophones | string | strings | blow | wind | drum | bell | tambourine | cymbals | communicate | communication | share | phone | phones | satellite | satellites | computer | computers | connect | connected | smart phone | smart phones | alert | alarm | weather | sound engineer | sound engineers",,,,,,,,,,,,,,,,,,,,"https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/4e44f959-7428-4a96-8900-474fd6c4877b","https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/37e4d95b-5770-4f7a-b49a-fb1822ea0947","https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/37e4d95b-5770-4f7a-b49a-fb1822ea0947",,,,,,,,,,,,,,,,,,,,,,,,,"USA",,,,
"false","10",,"Elevate Science Grade 1",,,"Science","English","K|1|2","Science",,,"SCI19_NAG1_L400105452","185c94c7-b1e2-40ba-b047-2a934dca5ffa","4c7addd9-cb0c-4396-9ba1-b63263303ea0","Elevate Science Grade 1:Sound",,,,,"Topic Launch: Sound","Topic Launch: Sound","Sequence","Sequence","Lesson","false",,"false",,"No",,,,,,"SCI19_NAG1_L400105452",,,"Pearson","This folder contains material to introduce topic content.",,"https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/40599138-44b7-405e-826a-fea0b937856c",,"Topic Launch: Sound",,,,,,,,,,,,,,,,,,,,,,"https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/40599138-44b7-405e-826a-fea0b937856c","https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/bd9757c5-55ec-42fc-99c1-1642cf3e6181","https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/bd9757c5-55ec-42fc-99c1-1642cf3e6181",,,,,,,,,,,,,,,,,,,,,,,,,"USA",,,,
"false","10",,"Elevate Science Grade 1",,,"Science","English","K|1|2","Science",,,"SCI19_NAG1_L400105467","4c7addd9-cb0c-4396-9ba1-b63263303ea0","255e67d2-2d10-40e9-ae8a-216c81da6a2a","Elevate Science Grade 1:Sound:Topic Launch: Sound",,,,,"eText: Sound","eText: Sound","Reference Material","URL","Realize Reader Selection","false","true","false","Stream/View","No",,,"Remediation",,,"SCI19_NAG1_L400105467",,,"Pearson","This links to the beginning of Sound in the student eText.","SCI19_NAG1\SCI.976|SCI19_NAG1\SCI.2535|SCI19_NAG1\SCI.2580|SCI19_NAG1\SCI.584|SCI19_NAG1\SCI.1731|SCI19_NAG1\SCI.99|SCI19_NAG1\SCI.222|SCI19_NAG1\SCI.2116|SCI19_NAG1\SCI.1166|SCI19_NAG1\SCI.3484|SCI19_NAG1\SCI.2392|SCI19_NAG1\SCI.264|SCI19_NAG1\SCI.2561|SCI19_NAG1\SCI.632|SCI19_NAG1\SCI.1339","https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/94ab05f2-2dd4-440f-a9d9-2f48c6d7389e","URL","eText: Sound",,"eText|reading|narrative|student edition|pages|sound|sounds|vibrate|vibrations|instrument|instruments|send|message|messages|secret code|secret codes|conductor|orchestra|instruct|instructions|ruler|marching band|parade|pitch|volume|long|longer|short|shorter|energy|drum|pitch|high|low|loud|soft|animal|animals|soyote|howl|growl|echolocation|bat|bats|echo|percussion|music |musical|throat|vocal cords|sing|voice|large|small|violin|violins|cello|cellos|xylophone|xylophones|string|strings|blow|wind|drum|bell|tambourine|cymbals|communicate|communication|share|phone|phones|satellite|satellites|computer|computers|connect|connected|smart phone|smart phones|alert|alarm|weather|sound engineer|sound engineers","http://pearson.com/",,,,,,,,,,,,,,,,,,,"https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/94ab05f2-2dd4-440f-a9d9-2f48c6d7389e",,,,,,,,,,,,,,,,"realize",,"false",,"YES","2RR073G5NSI","4",,,,,"USA",,,,
"false","20",,"Elevate Science Grade 1",,,"Science","English","K|1|2","Science",,,"SCI19_NAG1_L400105475","4c7addd9-cb0c-4396-9ba1-b63263303ea0","d5e50728-2bc7-413e-a05d-6cbddefd1342","Elevate Science Grade 1:Sound:Topic Launch: Sound",,,,,"Quest Kickoff eText: Sending Sound Messages","Quest Kickoff eText: Sending Sound Messages","Reference Material","URL","Realize Reader Selection","false","true","false","Stream/View","No",,,"Remediation",,,"SCI19_NAG1_L400105475",,,"Pearson","This links to the Quest Kickoff in the student eText.","SCI19_NAG1\SCI.584|SCI19_NAG1\SCI.99|SCI19_NAG1\SCI.222|SCI19_NAG1\SCI.2392|SCI19_NAG1\SCI.1339","https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/94ab05f2-2dd4-440f-a9d9-2f48c6d7389e","URL","Quest Kickoff eText: Sending Sound Messages",,"eText|reading|narrative|student edition|pages|sky|watchers|watcher|pattern|patterns|moon|star|stars|night|nights","http://pearson.com/",,,,,,,,,,,,,,,,,,,"https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/94ab05f2-2dd4-440f-a9d9-2f48c6d7389e",,,,,,,,,,,,,,,,"realize",,"false",,"YES","2RR073G5NSI","5|6",,,,,"USA",,,,
"false","30",,"Elevate Science Grade 1",,,"Science","English","K|1|2","Science",,,"SCI19_NAG1_L400105481","4c7addd9-cb0c-4396-9ba1-b63263303ea0","38bbe1db-1a42-48a5-9073-dac4c5fb7a76","Elevate Science Grade 1:Sound:Topic Launch: Sound",,,,,"Quest Kickoff: Sending Sound Messages","Quest Kickoff: Sending Sound Messages","Activity/Exercise","TinCanSCO","Interactive Media","false","false","false","Stream/View","No",,,"Remediation",,,"SCI19_NAG1_L400105481",,,"Pearson","This activity introduces students to the Quest by exploring how they can use sound to send a secret code.","SCI19_NAG1\SCI.584|SCI19_NAG1\SCI.99|SCI19_NAG1\SCI.222|SCI19_NAG1\SCI.2392|SCI19_NAG1\SCI.1339","https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/2f38b85b-7302-4eea-abab-430dac8597c8","DCAT","Quest Kickoff: Sending Sound Messages",,"quest|launch|kick off|kick-off|kickoff|connect|problem|problem-based|problem based|problem-based learning|problem based learning|real-world|real world|engage|flute|flutes|instruments|instrument|woodwind|clarinet|clarinets|trumpet|trumpets|brass|violin|violins|string|bass|timapani|percussion|xylophone|piano|high|low|message|secret","http://dcat.pearson.com/dcatweb/object/downloadPIF/A0604302.zip",,,,,,,,,,,,,,,,,,,"https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/2f38b85b-7302-4eea-abab-430dac8597c8",,,,,,,,,,,,,,,,"realize",,"false",,"YES",,,,,,,"USA",,,,
"false","10",,"Elevate Science Grade 1",,,"Science","English","K|1|2","Science",,,"SCI19_NAG1_L400105489","38bbe1db-1a42-48a5-9073-dac4c5fb7a76","a8451c3b-aca5-4f87-8f10-fde7ed38ec89","Elevate Science Grade 1:Sound:Topic Launch: Sound:Quest Kickoff: Sending Sound Messages",,,,,"Quest Kickoff Teacher Support Container","Quest Kickoff Teacher Support Container","Sequence","Sequence","Teacher Support","true",,"true",,"No",,,,,,"SCI19_NAG1_L400105489",,,"Pearson",,,,,"Quest Kickoff Teacher Support Container",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USA",,,,
